1508855579;p1p1;1919.84;165705.24;167625.07;28.64;114.78;143.42;0.00;0.00
1508855580;p1p1;1919.84;165707.23;167627.07;28.64;114.81;143.45;0.00;0.00
1508855580;p1p1;1919.84;165710.70;167630.53;28.64;114.81;143.45;0.00;0.00
1508855581;p1p1;1922.04;165708.90;167630.93;28.68;114.78;143.45;0.00;0.00
1508855581;p1p1;1922.04;165709.37;167631.40;28.68;114.68;143.35;0.00;0.00
1508855582;p1p1;1922.04;165701.39;167623.41;28.68;114.54;143.22;0.00;0.00
1508855582;p1p1;1922.04;165699.39;167621.41;28.68;114.51;143.19;0.00;0.00
1508855583;p1p1;2528.96;217787.51;220316.46;37.69;149.21;186.90;0.00;0.00
1508855583;p1p1;2528.96;217787.71;220316.66;37.69;149.11;186.80;0.00;0.00
1508855584;p1p1;2528.96;217775.47;220304.42;37.69;148.97;186.67;0.00;0.00
1508855584;p1p1;2528.96;217773.47;220302.42;37.69;148.94;186.63;0.00;0.00
1508855585;p1p1;2528.96;217755.24;220284.19;37.69;148.71;186.40;0.00;0.00
1508855585;p1p1;2528.96;217747.24;220276.19;37.69;148.57;186.27;0.00;0.00
1508855586;p1p1;2528.96;217741.25;220270.20;37.69;148.47;186.17;0.00;0.00
1508855586;p1p1;2528.96;217732.48;220261.43;37.69;148.37;186.07;0.00;0.00
1508855587;p1p1;2528.96;217713.69;220242.64;37.69;148.14;185.83;0.00;0.00
1508855587;p1p1;2528.96;217708.62;220237.57;37.69;148.07;185.77;0.00;0.00
1508855588;p1p1;2528.96;217706.49;220235.44;37.69;148.07;185.77;0.00;0.00
1508855588;p1p1;2528.96;217694.49;220223.44;37.69;147.87;185.57;0.00;0.00
1508855589;p1p1;2528.96;217691.00;220219.95;37.69;147.81;185.50;0.00;0.00
1508855589;p1p1;2528.96;217676.23;220205.18;37.69;147.64;185.33;0.00;0.00
1508855590;p1p1;2528.96;217654.58;220183.52;37.69;147.34;185.03;0.00;0.00
1508855590;p1p1;2528.96;217662.84;220191.79;37.69;147.41;185.10;0.00;0.00
1508855591;p1p1;2528.96;217660.85;220189.80;37.69;147.38;185.07;0.00;0.00
1508855591;p1p1;2528.96;217673.11;220202.06;37.69;147.51;185.20;0.00;0.00
1508855592;p1p1;2528.96;217672.05;220201.00;37.69;147.51;185.20;0.00;0.00
1508855592;p1p1;2543.79;217672.91;220216.70;37.83;147.51;185.33;0.00;0.00
1508855593;p1p1;3001.97;256530.83;259532.80;44.68;173.46;218.14;0.00;0.00
1508855593;p1p1;3001.97;256534.96;259536.93;44.68;173.59;218.27;0.00;0.00
1508855594;p1p1;3001.97;256524.49;259526.46;44.68;173.52;218.20;0.00;0.00
1508855594;p1p1;3001.97;256524.49;259526.46;44.68;173.52;218.20;0.00;0.00
1508855595;p1p1;3001.97;256524.49;259526.46;44.68;173.52;218.20;0.00;0.00
1508855595;p1p1;3001.97;256511.45;259513.42;44.68;173.49;218.17;0.00;0.00
1508855596;p1p1;3001.97;256486.07;259488.04;44.68;173.39;218.07;0.00;0.00
1508855596;p1p1;3001.97;256486.07;259488.04;44.68;173.39;218.07;0.00;0.00
1508855597;p1p1;3001.97;256488.07;259490.04;44.68;173.42;218.10;0.00;0.00
1508855597;p1p1;3001.97;256476.37;259478.34;44.68;173.42;218.10;0.00;0.00
1508855598;p1p1;3003.37;256462.96;259466.33;44.71;173.36;218.07;0.00;0.00
1508855598;p1p1;3003.37;256460.83;259464.19;44.71;173.29;218.00;0.00;0.00
1508855599;p1p1;3003.37;256450.75;259454.11;44.71;173.22;217.94;0.00;0.00
1508855599;p1p1;3003.37;256456.75;259460.11;44.71;173.32;218.04;0.00;0.00
1508855600;p1p1;3003.37;256442.17;259445.54;44.71;173.22;217.94;0.00;0.00
1508855600;p1p1;3003.37;256443.27;259446.64;44.71;173.29;218.00;0.00;0.00
1508855601;p1p1;3003.37;256449.26;259452.63;44.71;173.39;218.10;0.00;0.00
1508855601;p1p1;2946.20;256373.40;259319.60;44.11;172.92;217.04;0.00;0.00
1508855602;p1p1;1083.53;91193.75;92277.28;16.07;63.18;79.24;0.00;0.00
