1508746952;STATUS;0;3901;24.000000;Playing;Playing;
1508746954;STATUS;0;3951;25.000000;Playing;Playing;
1508746956;STATUS;0;3999;24.000000;Playing;Playing;
1508746958;STATUS;0;4048;24.500000;Playing;Playing;
1508746960;STATUS;0;4097;24.500000;Playing;Playing;
1508746962;STATUS;0;4146;24.500000;Playing;Playing;
1508746964;STATUS;0;4193;23.500000;Playing;Playing;
1508746966;STATUS;0;4243;25.000000;Playing;Playing;
1508746968;STATUS;0;4292;24.500000;Playing;Playing;
1508746970;STATUS;0;4341;24.500000;Playing;Playing;
1508746972;STATUS;0;4389;24.000000;Playing;Playing;
1508746972856;ERROR_EVENT;playback in danger of stalling;
1508746974;STATUS;0;4438;24.500000;Playing;Playing;
1508746976;STATUS;0;4485;23.500000;Playing;Playing;
1508746978;STATUS;0;4535;25.000000;Playing;Playing;
1508746980;STATUS;0;4583;24.000000;Playing;Playing;
1508746982;STATUS;0;4631;24.000000;Playing;Playing;
1508746984;STATUS;0;4681;25.000000;Playing;Playing;
1508746984816;ERROR_EVENT;playback in danger of stalling;
1508746986;STATUS;0;4730;24.500000;Playing;Playing;
1508746988;STATUS;0;4778;24.000000;Playing;Playing;
1508746990;STATUS;0;4827;24.500000;Playing;Playing;
1508746992;STATUS;0;4875;24.000000;Playing;Playing;
1508746994;STATUS;0;4924;24.500000;Playing;Playing;
1508746996;STATUS;0;4971;23.500000;Playing;Playing;
1508746998;STATUS;0;5021;25.000000;Playing;Playing;
1508747000;STATUS;0;5069;24.000000;Playing;Playing;
1508747000856;ERROR_EVENT;playback in danger of stalling;
1508747002;STATUS;0;5117;24.000000;Playing;Playing;
1508747004;STATUS;0;5166;24.500000;Playing;Playing;
1508747006;STATUS;0;5216;25.000000;Playing;Playing;
1508747008;STATUS;0;5265;24.500000;Playing;Playing;
1508747010;STATUS;0;5313;24.000000;Playing;Playing;
1508747012;STATUS;0;5363;25.000000;Playing;Playing;
1508747014;STATUS;0;5412;24.500000;Playing;Playing;
1508747016;STATUS;0;5461;24.500000;Playing;Playing;
1508747018;STATUS;0;5509;24.000000;Playing;Playing;
1508747020;STATUS;0;5533;12.000000;Playing;Playing;
1508747022;STATUS;0;5581;24.000000;Playing;Playing;
1508747024;STATUS;0;5632;25.500000;Playing;Playing;
1508747026;STATUS;0;5681;24.500000;Playing;Playing;
1508747028;STATUS;0;5729;24.000000;Playing;Playing;
1508747030;STATUS;0;5778;24.500000;Playing;Playing;
1508747032;STATUS;0;5827;24.500000;Playing;Playing;
1508747034;STATUS;0;5875;24.000000;Playing;Playing;
1508747036;STATUS;0;5924;24.500000;Playing;Playing;
1508747038;STATUS;0;5973;24.500000;Playing;Playing;
1508747040;STATUS;0;6022;24.500000;Playing;Playing;
1508747042;STATUS;0;6070;24.000000;Playing;Playing;
1508747044;STATUS;0;6119;24.500000;Playing;Playing;
1508747046;STATUS;0;6168;24.500000;Playing;Playing;
1508747048;STATUS;0;6216;24.000000;Playing;Playing;
1508747050;STATUS;0;6265;24.500000;Playing;Playing;
1508747052;STATUS;0;6314;24.500000;Playing;Playing;
1508747054;STATUS;0;6363;24.500000;Playing;Playing;
1508747056;STATUS;0;6411;24.000000;Playing;Playing;
1508747058;STATUS;0;6460;24.500000;Playing;Playing;
