1508747575;STATUS;12;3353;24.000000;Playing;Playing;
1508747577;STATUS;12;3402;24.500000;Playing;Playing;
1508747579;STATUS;12;3450;24.000000;Playing;Playing;
1508747581;STATUS;12;3498;24.000000;Playing;Playing;
1508747583;STATUS;12;3546;24.000000;Playing;Playing;
1508747585;STATUS;12;3595;24.500000;Playing;Playing;
1508747585900;ERROR_EVENT;playback in danger of stalling;
1508747587;STATUS;12;3644;24.500000;Playing;Playing;
1508747589;STATUS;12;3694;25.000000;Playing;Playing;
1508747591;STATUS;12;3743;24.500000;Playing;Playing;
1508747593;STATUS;12;3792;24.500000;Playing;Playing;
1508747595;STATUS;12;3840;24.000000;Playing;Playing;
1508747597;STATUS;12;3889;24.500000;Playing;Playing;
1508747599;STATUS;12;3938;24.500000;Playing;Playing;
1508747601;STATUS;12;3986;24.000000;Playing;Playing;
1508747603;STATUS;12;4034;24.000000;Playing;Playing;
1508747605;STATUS;12;4084;25.000000;Playing;Playing;
1508747607;STATUS;12;4131;23.500000;Playing;Playing;
1508747609;STATUS;12;4181;25.000000;Playing;Playing;
1508747611;STATUS;12;4230;24.500000;Playing;Playing;
1508747613108;ERROR_EVENT;playback in danger of stalling;
1508747613;STATUS;12;4279;24.500000;Playing;Playing;
1508747615;STATUS;12;4328;24.500000;Playing;Playing;
1508747617;STATUS;12;4376;24.000000;Playing;Playing;
1508747619;STATUS;12;4400;12.000000;Playing;Playing;
1508747621;STATUS;12;4449;24.500000;Playing;Playing;
1508747623733;ERROR_EVENT;playback in danger of stalling;
1508747623;STATUS;12;4499;25.000000;Playing;Playing;
1508747625;STATUS;12;4547;24.000000;Playing;Playing;
1508747627;STATUS;12;4595;24.000000;Playing;Playing;
1508747629;STATUS;12;4645;25.000000;Playing;Playing;
1508747631;STATUS;12;4693;24.000000;Playing;Playing;
1508747632400;ERROR_EVENT;playback in danger of stalling;
1508747633;STATUS;12;4742;24.500000;Playing;Playing;
1508747635;STATUS;12;4789;23.500000;Playing;Playing;
1508747637;STATUS;12;4840;25.500000;Playing;Playing;
1508747639;STATUS;12;4889;24.500000;Playing;Playing;
1508747641;STATUS;12;4938;24.500000;Playing;Playing;
1508747643;STATUS;12;4987;24.500000;Playing;Playing;
1508747643858;ERROR_EVENT;playback in danger of stalling;
1508747645;STATUS;12;5036;24.500000;Playing;Playing;
1508747647;STATUS;12;5084;24.000000;Playing;Playing;
1508747649;STATUS;12;5133;24.500000;Playing;Playing;
1508747651;STATUS;12;5181;24.000000;Playing;Playing;
1508747653;STATUS;12;5230;24.500000;Playing;Playing;
1508747655;STATUS;12;5279;24.500000;Playing;Playing;
1508747656358;ERROR_EVENT;playback in danger of stalling;
1508747657;STATUS;12;5327;24.000000;Playing;Playing;
1508747659;STATUS;12;5376;24.500000;Playing;Playing;
1508747661;STATUS;12;5425;24.500000;Playing;Playing;
1508747663;STATUS;12;5474;24.500000;Playing;Playing;
1508747665108;ERROR_EVENT;playback in danger of stalling;
1508747665;STATUS;12;5522;24.000000;Playing;Playing;
1508747667;STATUS;12;5571;24.500000;Playing;Playing;
1508747669;STATUS;12;5620;24.500000;Playing;Playing;
1508747671;STATUS;12;5668;24.000000;Playing;Playing;
1508747673317;ERROR_EVENT;playback in danger of stalling;
1508747673;STATUS;12;5693;12.500000;Playing;Playing;
1508747674448;ERROR_EVENT;underflow;
1508747675;STATUS;12;5693;0.000000;Playing;Playing;
1508747677;STATUS;12;5693;0.000000;Playing;Playing;
1508747679;STATUS;12;5693;0.000000;Playing;Playing;
1508747679997;BUFFERING;0.000000%;
1508747680001;BUFFERING;0.000000%;
1508747680002;BUFFERING;4.000000%;
1508747680002;ERROR_EVENT;underflow;
1508747680002;BUFFERING;8.000000%;
1508747680002;BUFFERING;12.000000%;
1508747680002;BUFFERING;16.000000%;
1508747680002;BUFFERING;20.000000%;
1508747680002;BUFFERING;25.000000%;
1508747680003;BUFFERING;29.000000%;
1508747680003;BUFFERING;33.000000%;
1508747680003;BUFFERING;37.000000%;
1508747680003;BUFFERING;41.000000%;
1508747680003;BUFFERING;45.000000%;
1508747680003;BUFFERING;50.000000%;
1508747680003;BUFFERING;54.000000%;
1508747680004;BUFFERING;58.000000%;
1508747680004;BUFFERING;62.000000%;
1508747680004;BUFFERING;66.000000%;
1508747680004;BUFFERING;70.000000%;
1508747680004;BUFFERING;75.000000%;
1508747680004;BUFFERING;79.000000%;
1508747680004;BUFFERING;83.000000%;
1508747680004;BUFFERING;87.000000%;
1508747680005;BUFFERING;91.000000%;
1508747680005;BUFFERING;95.000000%;
1508747680005;BUFFERING;100.000000%;
1508747680005;BUFFERING;100.000000%;
1508747680107;WARNING_EVENT;starting late (-25520 us);
1508747680109;ERROR_EVENT;underflow;
1508747681046;ERROR_EVENT;picture is too late to be displayed (missing 804 ms);
1508747681046;ERROR_EVENT;picture is too late to be displayed (missing 762 ms);
1508747681046;ERROR_EVENT;picture is too late to be displayed (missing 722 ms);
1508747681047;ERROR_EVENT;picture is too late to be displayed (missing 680 ms);
1508747681056;ERROR_EVENT;picture is too late to be displayed (missing 647 ms);
1508747681062;ERROR_EVENT;picture is too late to be displayed (missing 612 ms);
1508747681101;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747681105;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747681113;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747681;STATUS;12;5789;48.000000;Playing;Playing;
1508747683;STATUS;18;5833;22.000000;Playing;Playing;
1508747685;STATUS;18;5881;24.000000;Playing;Playing;
1508747687;STATUS;18;5928;23.500000;Playing;Playing;
1508747689;STATUS;18;5978;25.000000;Playing;Playing;
1508747691;STATUS;18;6027;24.500000;Playing;Playing;
1508747693;STATUS;18;6075;24.000000;Playing;Playing;
1508747695349;ERROR_EVENT;playback in danger of stalling;
1508747695;STATUS;18;6124;24.500000;Playing;Playing;
1508747697;STATUS;18;6173;24.500000;Playing;Playing;
1508747699;STATUS;18;6222;24.500000;Playing;Playing;
1508747701;STATUS;18;6270;24.000000;Playing;Playing;
1508747703;STATUS;18;6319;24.500000;Playing;Playing;
1508747705;STATUS;18;6368;24.500000;Playing;Playing;
1508747707;STATUS;18;6417;24.500000;Playing;Playing;
1508747709;STATUS;18;6465;24.000000;Playing;Playing;
1508747711;STATUS;18;6514;24.500000;Playing;Playing;
1508747713;STATUS;18;6563;24.500000;Playing;Playing;
1508747714058;ERROR_EVENT;playback in danger of stalling;
1508747715;STATUS;18;6613;25.000000;Playing;Playing;
1508747717;STATUS;18;6662;24.500000;Playing;Playing;
1508747718891;ERROR_EVENT;playback in danger of stalling;
